pessoa_id;telefone_principal;telefone_secundario
1427;(47) 3245-4783;(31) 2567-7166
1428;(21) 2063-8590;(48) 2012-4867
1429;(71) 4532-4056;(14) 3479-8377
1430;(31) 8628-2579;(11) 9201-9592
1431;(19) 4802-2523;(14) 7000-2845
1432;(11) 4751-2922;(28) 7313-9332
1433;(49) 7434-6694;(11) 7005-9363
1434;(55) 9194-9993;(15) 8794-7154
1435;(34) 7876-9746;(85) 9663-9890
1436;(82) 6939-9801;(21) 8483-8932
1437;(98) 7805-7286;(31) 5641-3418
1438;(19) 8718-2366;(93) 3267-9547
1439;(21) 8851-6924;(87) 4292-7126
1440;(11) 4327-9155;(31) 8958-7214
1441;(65) 2750-3837;(31) 6618-9026
1442;(71) 7988-2465;(11) 4359-3796
1443;(79) 5240-8013;(11) 3346-9532
1444;(81) 5269-6435;(61) 7907-5376
1445;(64) 6518-3454;(17) 8959-7343
1446;(51) 4293-4263;(16) 2505-4380
1447;(21) 6419-2769;(11) 9696-2996
1448;(14) 5258-7392;(14) 6617-8824
1449;(87) 9374-3135;(71) 6015-6363
1450;(32) 2748-7811;(31) 2095-3658
1451;(11) 9013-3333;(19) 8290-6147
1452;(61) 4070-3740;(22) 6091-8244
1453;(42) 2885-8466;(61) 3186-6607
1454;(31) 6544-8112;(11) 6931-9762
1455;(81) 4585-7858;(79) 3063-6289
1456;(62) 8555-3323;(91) 4313-6890
1457;(61) 9615-4307;(21) 5805-3071
1458;(19) 4656-4057;(16) 3548-8759
1459;(34) 3478-9418;(86) 9888-2834
1460;(11) 6082-4081;(11) 2264-5523
1461;(11) 9504-3484;(51) 6093-2114
1462;(13) 2606-8331;(11) 4139-8133
1463;(11) 3934-4706;(19) 7369-8352
1464;(85) 7977-6669;(61) 7237-9449
1465;(67) 7394-6177;(11) 2519-3956
1466;(81) 6751-5705;(31) 3712-9779
1467;(94) 6878-8783;(61) 3603-3470
1468;(19) 3178-5621;(11) 7187-3952
1469;(43) 6994-8520;(11) 3116-7622
1470;(16) 9631-6206;(24) 3095-6111
1471;(27) 6644-2971;(45) 9656-4167
1472;(32) 7596-5471;(51) 2748-7555
1473;(11) 2095-3207;(48) 7128-8246
1474;(11) 9964-3434;(13) 9583-3584
1475;(14) 2382-3398;(83) 2466-9835
1476;(21) 7050-3056;(11) 4013-8226
1477;(21) 3166-2241;(53) 5872-5541
1478;(65) 8337-2204;(11) 9817-9469
1479;(61) 7686-9447;(31) 7546-4636
1480;(51) 6499-6058;(51) 5652-6095
1481;(17) 2516-9668;(44) 2112-7747
1482;(95) 4186-9177;(81) 5079-2655
1483;(32) 6767-4278;(55) 3741-8433
1484;(48) 7470-7426;(11) 6542-2360
1485;(16) 8334-7249;(83) 7889-9940
1486;(11) 7495-4277;(31) 7127-4543
1487;(11) 5972-9339;(51) 4643-5070
1488;(12) 7701-7586;(16) 7175-4619
1489;(21) 9841-3838;(19) 4771-3055
1490;(33) 8327-3006;(19) 4853-9770
1491;(71) 3568-2184;(19) 3472-7140
1492;(54) 5006-3252;(11) 7945-7191
1493;(24) 7081-8008;(11) 2038-3007
1494;(11) 8494-4518;(16) 7851-3250
1495;(62) 7416-2458;(19) 4127-6063
1496;(47) 7386-3876;(46) 6381-8065
1497;(21) 7825-5064;(19) 4253-2609
1498;(11) 7080-6476;(73) 9259-2061
1499;(27) 2993-9638;(19) 8045-5012
1500;(15) 7814-2542;(51) 5419-2419
1501;(18) 8368-3604;(38) 7146-7896
1502;(81) 9035-2130;(51) 6318-2995
1503;(81) 6010-3949;(51) 3204-9074
1504;(43) 6070-2754;(47) 9136-2915
1505;(61) 6022-4885;(21) 6989-3193
1506;(31) 9628-5814;(28) 9092-4056
1507;(19) 3567-3730;(27) 9221-4510
1508;(12) 7581-7389;(11) 2571-6842
1509;(16) 8129-3314;(98) 2309-9280
1510;(11) 6770-9260;(34) 9006-8795
1511;(92) 7982-3704;(62) 7708-7270
1512;(12) 8123-4662;(37) 8854-8052
1513;(64) 9671-6243;(61) 9688-9535
1514;(21) 7437-2834;(51) 9993-8831
1515;(21) 6494-5064;(11) 7652-6725
1516;(81) 4552-2298;(11) 6097-2169
1517;(69) 8573-9404;(21) 4261-8254
1518;(98) 2279-2758;(43) 3899-9661
1519;(24) 4948-4447;(11) 7773-5103
1520;(11) 6462-6721;(62) 4477-7258
1521;(11) 5741-5619;(31) 5108-3530
1522;(21) 8349-9809;(31) 6606-9065
1523;(19) 3617-8054;(71) 2838-8939
1524;(41) 8117-2773;(35) 2202-6713
1525;(11) 7426-8555;(11) 7996-2906
1526;(81) 8294-7881;(81) 2067-6213
1527;(21) 8768-4611;(15) 7526-3062
1528;(63) 2753-5214;(31) 3867-2781
1529;(21) 4766-5848;(35) 5062-9418
1530;(27) 6761-5793;(31) 9117-9735
1531;(85) 2578-2821;(37) 9492-9577
1532;(31) 8906-8612;(65) 7172-2933
1533;(11) 2623-3331;(37) 6710-7656
1534;(61) 3795-6113;(27) 5198-2097
1535;(85) 8830-2357;(49) 2876-4935
1536;(21) 2671-9143;(37) 6163-2392
1537;(49) 9001-2091;(19) 2265-8302
1538;(84) 8211-7775;(79) 8528-9617
1539;(11) 4156-9508;(83) 8814-4790
1540;(94) 4240-9316;(62) 3626-2989
1541;(27) 8752-4158;(61) 8196-3211
1542;(81) 4289-8336;(92) 9016-9650
1543;(19) 2462-2140;(14) 5956-7502
1544;(77) 9833-5656;(21) 3686-9647
1545;(32) 5043-2752;(11) 2846-9131
1546;(16) 5862-7700;(62) 2229-3326
1547;(31) 9575-4683;(83) 6840-5636
1548;(49) 7911-7023;(24) 5959-3681
1549;(61) 7474-4122;(81) 7934-8870
1550;(38) 6161-4962;(21) 9264-8140
1551;(45) 3494-8811;(21) 3641-4178
1552;(71) 2802-5753;(16) 9645-5596
1553;(21) 2463-6148;(11) 8374-8115
1554;(38) 9305-8957;(11) 9243-7424
1555;(11) 4608-6449;(17) 7713-2272
1556;(61) 6140-3357;(21) 3163-2637
1557;(65) 9770-7060;(62) 9664-3606
1558;(99) 2680-2628;(11) 7447-7428
1559;(54) 7131-9433;(51) 3025-3087
1560;(12) 9424-5225;(13) 8691-4123
1561;(37) 2241-3519;(43) 6427-8409
1562;(11) 6689-8629;(43) 8616-9253
1563;(21) 9107-8804;(81) 2082-9859
1564;(21) 6123-8680;(81) 2792-9163
1565;(53) 2005-3901;(85) 9269-2041
1566;(84) 3039-8558;(17) 6713-2489
1567;(41) 3883-6699;(19) 3363-6377
1568;(61) 4901-5683;(47) 3557-8637
1569;(37) 8688-9047;(44) 9540-2292
1570;(92) 6723-4441;(61) 6135-7338
1571;(24) 9874-6600;(33) 3965-6687
1572;(24) 2852-3308;(21) 6055-8961
1573;(51) 3027-8181;(15) 6026-5851
1574;(27) 5887-8610;(51) 9003-8149
1575;(85) 3893-5702;(62) 9571-7886
1576;(51) 8798-4869;(19) 4378-5678
1577;(11) 2310-8732;(81) 4249-7365
1578;(11) 8473-9855;(21) 2909-9479
1579;(71) 3964-3373;(81) 5386-7186
1580;(37) 6907-6502;(14) 8250-9700
1581;(65) 6406-7507;(18) 3851-3452
1582;(62) 4262-3254;(62) 6378-3826
1583;(11) 4518-9397;(24) 4586-3999
1584;(11) 2318-2248;(32) 5534-2358
1585;(15) 9148-8549;(31) 2299-4495
1586;(14) 5395-8653;(16) 3526-5758
1587;(37) 2921-8507;(31) 7085-9673
1588;(11) 6854-9302;(31) 7926-5758
1589;(62) 6302-7917;(11) 5030-6836
1590;(11) 6936-4769;(91) 5407-5689
1591;(31) 2730-5076;(92) 6462-2794
1592;(85) 6023-5452;(71) 8014-8474
1593;(61) 8539-5446;(11) 8834-5723
1594;(34) 6972-7754;(81) 7947-7755
1595;(11) 8281-8563;(11) 2829-2361
1596;(21) 6384-2516;(53) 7570-4200
1597;(21) 4321-2702;(83) 9536-2346
1598;(11) 6223-8658;(11) 9065-9611
1599;(11) 5921-9415;(21) 4004-3989
1600;(71) 6450-3705;(85) 5039-3955
1601;(51) 3665-4348;(48) 2257-4354
1602;(19) 6792-2159;(11) 8348-7402
1603;(61) 2235-5132;(34) 3712-9613
1604;(91) 2243-8030;(19) 7747-5288
1605;(84) 8782-8072;(64) 3592-4505
1606;(62) 4368-4475;(75) 9256-2870
1607;(48) 9228-2727;(34) 9111-9729
1608;(19) 6023-5347;(11) 6296-5331
1609;(11) 5093-5473;(99) 2011-5525
1610;(71) 2466-9710;(11) 7448-2521
1611;(48) 3513-2905;(81) 6259-3992
1612;(19) 5746-2166;(11) 2753-6334
1613;(92) 4805-8393;(62) 6989-6502
1614;(21) 6526-8825;(11) 7798-4088
1615;(21) 5240-8000;(31) 5322-6121
1616;(86) 8921-9471;(31) 9714-4319
1617;(81) 4629-8113;(12) 5039-7782
1618;(11) 4485-2998;(84) 2422-2796
1619;(31) 3178-8859;(21) 5759-7698
1620;(31) 4225-5038;(16) 8477-4079
1621;(19) 3025-5424;(92) 2044-9980
1622;(91) 8083-4073;(11) 2627-9633
1623;(11) 8106-4935;(11) 3260-8402
1624;(51) 5135-5705;(11) 9830-2378
1625;(67) 4250-7325;(69) 8482-8355
1626;(21) 8944-6421;(17) 8194-6697
1627;(67) 3772-5893;(31) 6499-3855
1628;(47) 3344-2465;(11) 7835-9295
1629;(12) 5985-6653;(71) 5309-2154
1630;(81) 5709-6518;(11) 4475-6729
1631;(54) 6055-3184;(16) 3573-7027
1632;(11) 9455-3224;(14) 6155-3716
1633;(48) 6233-6148;(81) 6894-4128
1634;(41) 7331-8087;(11) 3295-2368
1635;(83) 7362-7504;(16) 8264-2289
1636;(21) 4354-4986;(43) 3371-6312
1637;(12) 9728-5541;(42) 8025-4143
1638;(11) 5594-6289;(19) 7071-9540
1639;(92) 2086-3283;(19) 3462-6997
1640;(21) 5308-7770;(81) 3740-7323
1641;(11) 3421-7222;(11) 9805-8642
1642;(11) 9585-6298;(19) 9521-4268
1643;(67) 4292-4280;(11) 5271-2812
1644;(81) 2242-5182;(47) 2032-3718
1645;(32) 5461-2280;(87) 3105-3939
1646;(11) 7477-4013;(41) 6916-9654
1647;(48) 7220-9093;(21) 2086-4484
1648;(41) 3918-7135;(27) 5801-5919
1649;(49) 6491-5230;(81) 7387-7772
1650;(21) 2353-6733;(85) 9537-6491
1651;(27) 5744-3783;(51) 3245-6604
1652;(31) 6298-2684;(91) 8017-8064
1653;(21) 4621-2902;(87) 9892-5331
1654;(24) 7757-9183;(61) 4284-6103
1655;(17) 7405-7090;(43) 9852-6116
1656;(61) 4968-6492;(62) 8314-3299
1657;(17) 8936-5418;(81) 3246-3073
1658;(71) 9568-6284;(83) 3405-8311
1659;(61) 6351-5637;(18) 6271-8141
1660;(35) 9486-5280;(11) 5180-4593
1661;(18) 6597-9081;(11) 6205-9870
1662;(11) 9698-6352;(16) 5944-3120
1663;(71) 5069-8596;(31) 9537-9738
1664;(48) 4506-2060;(11) 5596-2550
1665;(11) 4267-5583;(64) 5193-2079
1666;(16) 8229-6553;(75) 7719-6815
1667;(84) 5414-9513;(27) 6673-2517
1668;(11) 7348-9600;(11) 6089-9201
1669;(12) 5750-9058;(21) 7821-9524
1670;(31) 5652-6491;(41) 5763-6109
1671;(11) 6321-9589;(11) 4280-5906
1672;(67) 5319-9046;(45) 2057-8007
1673;(31) 6522-5178;(11) 9686-7144
1674;(31) 5769-2881;(21) 4039-3026
1675;(81) 7944-2735;(21) 3447-9779
1676;(71) 4941-5775;(67) 6902-7225
1677;(71) 9073-5745;(11) 5862-6387
1678;(62) 2042-8229;(43) 3910-3286
1679;(21) 9158-6919;(21) 7201-8683
1680;(14) 6116-7211;(14) 4735-8616
1681;(24) 3247-7015;(43) 8912-4438
1682;(34) 4364-7126;(27) 3122-9561
1683;(62) 2343-6015;(27) 3996-6241
1684;(31) 8595-9472;(92) 9168-6922
1685;(11) 3093-7711;(85) 6355-3762
1686;(19) 2381-9454;(31) 9528-5495
1687;(14) 4157-6381;(73) 9286-2401
1688;(81) 3549-9585;(81) 4459-7466
1689;(62) 7647-7057;(11) 7752-5588
1690;(31) 4393-5745;(31) 2807-6148
1691;(61) 5983-8852;(27) 3256-9749
1692;(61) 8196-6399;(19) 2497-6017
1693;(51) 2613-7678;(64) 4354-3281
1694;(11) 2649-4453;(31) 4499-7534
1695;(53) 2978-2674;(61) 3450-5787
1696;(81) 4156-3976;(51) 7916-4342
1697;(81) 4082-4845;(24) 8179-5862
1698;(21) 4299-7966;(19) 7914-9520
1699;(14) 5788-9252;(62) 9163-3617
1700;(53) 3972-8931;(24) 7927-5581
1701;(64) 7278-2473;(11) 7137-3301
1702;(83) 2718-9313;(69) 6599-5553
1703;(21) 9658-5359;(11) 3209-5560
1704;(92) 2252-3762;(11) 2903-9256
1705;(28) 2494-7682;(11) 4283-3420
1706;(61) 8529-2184;(37) 7704-4670
1707;(85) 4164-6917;(21) 8499-9222
1708;(31) 5139-8100;(11) 4008-5049
1709;(99) 2720-8909;(18) 6005-8627
1710;(75) 3570-7217;(11) 7495-7233
1711;(11) 9841-9745;(47) 7169-5934
1712;(88) 4802-3131;(24) 7743-9054
1713;(11) 4226-4676;(54) 4965-7203
1714;(31) 8026-8714;(67) 6070-7320
1715;(32) 5766-5390;(71) 6637-9182
1716;(71) 3207-9005;(18) 8462-4979
1717;(12) 6184-7864;(61) 8685-8260
1718;(63) 4340-2405;(16) 6873-3435
1719;(17) 7631-5741;(27) 5601-3760
1720;(16) 5610-6470;(32) 9106-7831
1721;(92) 3018-9759;(65) 4236-7080
1722;(22) 8143-3003;(31) 7127-2044
1723;(41) 2324-5899;(91) 6418-4664
1724;(11) 7527-5161;(53) 2028-9439
1725;(31) 8203-7551;(81) 4841-5494
1726;(33) 6010-9399;(91) 5560-5292
1727;(14) 9214-3832;(24) 5382-4729
1728;(14) 7027-3342;(11) 5309-2057
1729;(19) 5148-5383;(11) 2764-2450
1730;(63) 7149-7429;(21) 2604-8555
1731;(87) 3798-7946;(18) 6605-7814
1732;(14) 4803-2699;(21) 8196-8130
1733;(27) 8562-6437;(11) 6766-4545
1734;(17) 7013-8245;(31) 2442-5088
1735;(19) 5706-6157;(14) 9677-3380
1736;(32) 4910-4573;(31) 8726-8730
1737;(96) 4825-2953;(61) 8312-7523
1738;(83) 3747-7507;(31) 4625-7295
1739;(48) 2194-8826;(27) 4302-2895
1740;(19) 4710-5814;(15) 9479-5506
1741;(12) 5092-4401;(11) 9935-4642
1742;(28) 2690-3990;(41) 6879-7783
1743;(12) 5861-6544;(81) 3437-8561
1744;(34) 2142-2552;(14) 3366-4395
1745;(21) 6490-2837;(51) 2682-8594
1746;(11) 2117-2081;(14) 8943-9665
1747;(16) 8083-4951;(12) 9122-2334
1748;(31) 8780-3207;(21) 3938-8511
1749;(11) 5777-2162;(17) 2204-6777
1750;(31) 3384-6793;(17) 3043-6702
1751;(81) 6122-7983;(62) 5094-9942
1752;(21) 8737-6518;(31) 8971-8065
1753;(41) 7458-5296;(19) 5861-3596
1754;(21) 5154-8198;(81) 9539-2905
1755;(12) 4835-8771;(63) 9384-5910
1756;(48) 5169-7871;(32) 9862-2271
1757;(11) 2141-3507;(62) 8060-6873
1758;(81) 3312-6785;(16) 8078-5210
1759;(55) 9829-4943;(63) 4034-3749
1760;(21) 2258-3118;(11) 7799-9778
1761;(21) 6525-3626;(85) 8945-3992
1762;(34) 7808-7768;(12) 2683-3175
1763;(81) 8451-3496;(34) 8710-8353
1764;(21) 4400-3548;(21) 7950-6437
1765;(82) 5016-7837;(11) 6141-2120
1766;(19) 8682-6066;(46) 2687-7110
1767;(11) 6592-3223;(42) 7927-9866
1768;(27) 7443-3405;(12) 4174-9970
1769;(31) 9999-7354;(31) 9399-5796
1770;(41) 4950-2666;(16) 3118-4264
1771;(82) 2138-9387;(11) 5577-2152
1772;(71) 4570-2801;(18) 2915-9183
1773;(22) 8053-4502;(12) 7036-9762
1774;(44) 6415-4389;(11) 9918-6085
1775;(24) 9970-5027;(84) 8230-5636
1776;(22) 2220-5671;(51) 9746-8043
1777;(64) 8012-8564;(11) 5222-9812
1778;(81) 2869-2818;(11) 2999-2983
1779;(31) 5869-4449;(67) 8802-2758
1780;(27) 7786-4457;(81) 3360-6009
1781;(51) 4784-6532;(27) 4652-7662
1782;(81) 6829-4665;(92) 4590-5009
1783;(19) 5738-3806;(19) 2839-6529
1784;(21) 6349-2161;(11) 3900-7846
1785;(16) 9366-9263;(11) 5916-2412
1786;(81) 7093-6393;(67) 3621-5771
1787;(98) 8338-2736;(11) 9119-2454
1788;(27) 4221-6770;(71) 5699-6759
1789;(24) 3609-7655;(81) 2168-4102
1790;(11) 7979-4930;(71) 9501-6929
1791;(98) 2217-7612;(54) 6859-5615
1792;(43) 2012-6576;(92) 7326-6448
1793;(63) 2376-2232;(85) 9289-5466
1794;(62) 8770-5988;(11) 6064-7655
1795;(67) 8495-9994;(11) 7191-5374
1796;(51) 3911-2032;(62) 8268-4967
1797;(91) 3878-9031;(19) 4778-2221
1798;(19) 2882-9582;(19) 9726-2746
1799;(31) 7859-4723;(61) 2134-4590
1800;(21) 6473-7744;(11) 9300-2972
1801;(31) 8520-4718;(12) 2503-8654
1802;(51) 4930-4979;(63) 7747-7990
1803;(51) 9685-9814;(42) 8417-7734
1804;(85) 2698-4538;(61) 4476-9713
1805;(62) 5117-8217;(15) 3042-6638
1806;(63) 7214-6786;(31) 8426-2595
1807;(67) 3713-2426;(44) 2008-2652
1808;(11) 8911-7866;(24) 8884-4093
1809;(11) 8519-4043;(11) 5711-6028
1810;(21) 2964-5675;(21) 5663-7519
1811;(21) 8154-4522;(61) 9697-4502
1812;(21) 5485-7678;(16) 9961-8153
1813;(87) 8837-6707;(31) 8373-4204
1814;(85) 7108-4521;(11) 4460-6741
1815;(38) 3917-8509;(21) 8492-9944
1816;(34) 5039-6950;(11) 5941-7249
1817;(85) 6998-3271;(16) 6310-2713
1818;(19) 5787-8157;(14) 6860-9441
1819;(67) 6942-3851;(11) 7525-4919
1820;(21) 5067-3462;(51) 7730-2215
1821;(81) 5840-4979;(44) 3244-9101
1822;(11) 7057-4653;(11) 9084-5914
1823;(42) 7040-2404;(61) 8162-6767
1824;(14) 7489-3306;(28) 5921-3851
1825;(19) 7010-6330;(18) 9544-4816
1826;(65) 2731-5162;(11) 5841-2647
1827;(81) 6593-7337;(91) 2506-9829
1828;(31) 5650-8369;(11) 8186-7299
1829;(11) 7223-8967;(73) 7790-2114
1830;(12) 5765-6107;(31) 3544-5797
1831;(11) 8840-2447;(21) 9835-3705
1832;(64) 8324-6999;(11) 3228-7518
1833;(75) 9820-2005;(48) 7948-9103
1834;(63) 7007-9153;(19) 5065-8162
1835;(31) 3606-6930;(11) 5095-2317
1836;(82) 5432-7281;(21) 3058-5171
1837;(34) 7728-8014;(54) 8028-7538
1838;(11) 6608-2074;(21) 9696-2029
1839;(11) 5334-4941;(81) 8667-3874
1840;(11) 8033-4209;(11) 2458-6057
1841;(83) 8411-6596;(33) 8819-3510
1842;(33) 3734-6600;(49) 2477-6660
1843;(61) 5482-9266;(42) 2273-9018
1844;(62) 9755-4717;(31) 9200-4372
1845;(45) 4278-3649;(45) 3293-9328
1846;(31) 2524-7732;(71) 4123-5627
1847;(21) 5995-3814;(65) 2823-5874
1848;(21) 2842-7505;(21) 9908-7382
1849;(16) 4929-8447;(21) 9510-9367
1850;(48) 4555-9804;(71) 7699-6443
1851;(27) 9524-6466;(75) 4190-7527
1852;(19) 8431-3622;(62) 7903-5876
1853;(11) 5826-2603;(22) 2460-4980
1854;(31) 4420-9692;(34) 7506-3234
1855;(61) 9709-3178;(31) 3738-2318
1856;(45) 4651-6338;(67) 9091-8954
1857;(64) 3230-2887;(79) 3464-8002
1858;(12) 4565-9555;(31) 7449-5831
1859;(83) 6389-8045;(95) 6441-5652
1860;(16) 6147-7445;(71) 5081-8104
1861;(41) 9219-8341;(71) 6453-4878
1862;(55) 2359-2655;(71) 5316-7915
1863;(94) 3905-9501;(31) 9466-5046
1864;(37) 7510-4386;(81) 6879-7259
1865;(77) 4937-5887;(32) 2313-6238
1866;(11) 8883-5306;(81) 9319-7145
1867;(45) 5071-6832;(11) 4601-3102
1868;(81) 9668-4001;(81) 9548-8536
1869;(63) 8649-8572;(11) 8605-4058
1870;(24) 3320-5133;(13) 2031-6844
1871;(11) 3851-4923;(21) 7151-3512
1872;(21) 4939-4785;(11) 7570-8521
1873;(91) 9958-2204;(48) 2638-6764
1874;(73) 7080-4397;(55) 2787-7811
1875;(11) 9180-5250;(82) 7334-8506
1876;(11) 9848-6002;(19) 4243-4828
1877;(61) 7079-6612;(34) 5259-9883
1878;(32) 8479-6080;(53) 9994-5267
1879;(42) 4035-8186;(11) 8969-8200
1880;(48) 9338-7996;(62) 6022-5013
1881;(51) 8064-8287;(19) 9580-6499
1882;(11) 8169-8006;(11) 4291-9955
1883;(87) 2763-7278;(84) 5073-7915
1884;(27) 9606-8165;(15) 7060-5777
1885;(85) 2947-7744;(27) 7514-4098
1886;(61) 4167-3888;(55) 6392-8821
1887;(34) 2509-8968;(11) 7189-6252
1888;(62) 2005-2557;(71) 4059-5824
1889;(14) 2686-7137;(11) 9240-3353
1890;(11) 9846-9853;(27) 6556-3369
1891;(16) 4075-7784;(19) 8526-3195
1892;(21) 4359-5178;(44) 4230-9707
1893;(61) 7624-9891;(81) 8679-7137
1894;(91) 7598-8855;(11) 9389-8167
1895;(21) 6827-9711;(83) 2617-5980
1896;(16) 8605-2825;(16) 5400-2521
1897;(28) 7016-3106;(16) 3183-4019
1898;(31) 7191-3690;(11) 2475-3655
1899;(12) 5968-7677;(47) 5318-7880
1900;(19) 8249-8303;(34) 8471-9698
1901;(35) 3442-3629;(22) 6368-4692
1902;(71) 7932-9953;(61) 4038-9443
1903;(84) 2729-5959;(11) 7086-3502
1904;(11) 7995-9603;(62) 2852-8678
1905;(11) 9292-9057;(16) 6098-8938
1906;(61) 6801-5804;(11) 9883-8144
1907;(11) 4469-8251;(34) 2908-8067
1908;(85) 5766-7913;(11) 9479-8188
1909;(19) 9403-2028;(11) 8284-7916
1910;(16) 5116-9212;(51) 8709-5479
1911;(43) 8469-3993;(27) 7349-6063
1912;(71) 9071-7604;(11) 9444-6821
1913;(34) 6639-6273;(83) 7119-9818
1914;(13) 4806-5303;(18) 4169-8467
1915;(34) 2096-3074;(31) 7158-7306
1916;(61) 2288-3233;(35) 6359-7864
1917;(48) 6947-7176;(11) 2273-4883
1918;(19) 8370-3439;(11) 9705-4131
1919;(17) 7250-7930;(61) 7130-6138
1920;(18) 3481-3070;(32) 6574-3969
1921;(19) 6114-9249;(31) 2615-4524
1922;(21) 6666-8736;(14) 3798-5750
1923;(12) 4436-7719;(19) 2938-5179
1924;(11) 4848-7958;(34) 8144-7523
1925;(41) 2106-2922;(71) 4614-7666
1926;(47) 3069-8428;(13) 6751-3266
1927;(31) 2746-3247;(19) 3521-9891
1928;(98) 5754-9291;(11) 4372-2397
1929;(11) 2706-5593;(11) 7187-3249
1930;(31) 6170-6541;(11) 4751-7775
1931;(11) 9904-8433;(44) 5294-8830
1932;(84) 4972-9951;(62) 7144-8100
1933;(51) 6661-7535;(85) 6749-6070
1934;(47) 5675-5286;(83) 3777-3456
1935;(12) 3579-6418;(11) 5245-7419
1936;(11) 3494-9277;(79) 2812-9762
1937;(94) 3247-4696;(12) 2116-3255
1938;(19) 6157-6823;(12) 2878-2062
1939;(61) 9332-7210;(11) 9608-2909
1940;(19) 4462-5905;(19) 4423-9076
1941;(11) 8299-9082;(86) 6319-7097
1942;(68) 5355-8744;(67) 8861-7635
1943;(11) 2273-8552;(45) 9460-3424
1944;(71) 4206-3627;(27) 4339-6773
1945;(11) 3399-7764;(43) 7246-9000
1946;(13) 2662-4827;(14) 9623-2241
1947;(21) 8013-8832;(21) 5031-3987
1948;(11) 4773-4628;(84) 6015-9487
1949;(28) 4122-3721;(31) 5358-6594
1950;(11) 4884-6949;(71) 7292-2025
1951;(21) 4569-8020;(11) 9938-9195
1952;(31) 6381-5732;(12) 7383-5569
1953;(62) 5555-4827;(64) 5749-4094
1954;(11) 2043-9864;(11) 9092-8299
1955;(64) 3346-7463;(48) 7678-7581
1956;(65) 8206-5231;(11) 7420-8535
1957;(32) 7295-7852;(83) 8987-3582
1958;(98) 4589-7266;(51) 8174-2177
1959;(43) 8623-9525;(42) 8304-5470
1960;(99) 7185-8142;(67) 7286-5955
1961;(24) 4259-4670;(19) 6593-2577
1962;(21) 4116-9056;(85) 6715-3204
1963;(18) 5675-3170;(91) 7682-5709
1964;(48) 5815-5992;(41) 7465-9829
1965;(61) 9389-3496;(67) 3901-5352
1966;(84) 2173-6233;(31) 4714-4601
1967;(15) 3371-9815;(83) 3432-4201
1968;(31) 2092-9249;(63) 5884-2994
1969;(81) 8837-8989;(47) 4429-3970
1970;(37) 2552-4381;(81) 5659-7916
1971;(67) 5470-3861;(32) 2178-4060
1972;(33) 2423-4849;(11) 7186-5691
1973;(64) 6354-3991;(17) 2152-3075
1974;(31) 4938-3740;(43) 4218-7700
1975;(24) 8614-7674;(79) 5989-6972
1976;(51) 4380-8908;(98) 4124-9500
1977;(67) 4048-2024;(63) 2015-3344
1978;(91) 3957-6555;(51) 8822-8293
1979;(35) 6298-2150;(82) 6789-2056
1980;(81) 5607-3610;(81) 5611-6204
1981;(41) 3200-8706;(82) 9987-9219
1982;(11) 5179-2236;(41) 7034-9406
1983;(11) 6133-5411;(51) 4545-7460
1984;(73) 9228-8744;(48) 7239-7960
1985;(31) 4522-3822;(61) 4672-8743
1986;(91) 2973-4943;(19) 4162-6737
1987;(27) 9802-9016;(48) 9096-7154
1988;(11) 3676-6794;(11) 2093-3734
1989;(65) 3881-8495;(34) 4139-8677
1990;(12) 5656-3622;(11) 9462-5081
1991;(18) 6298-8041;(16) 6823-5325
1992;(47) 6891-8959;(17) 3337-5682
1993;(51) 4247-4180;(21) 6616-8847
1994;(31) 8508-6518;(83) 2736-7577
1995;(41) 5945-4946;(51) 3321-5590
1996;(81) 5170-4133;(62) 8769-3916
1997;(24) 8584-7367;(14) 3141-8562
1998;(98) 7826-2564;(92) 8187-4835
1999;(27) 7991-6515;(31) 5399-2193
2000;(21) 8970-9426;(45) 9318-5504
2001;(81) 7252-2921;(84) 3623-6493
2002;(91) 4367-9499;(22) 4743-8582
2003;(34) 5206-2303;(12) 9705-4034
2004;(11) 6372-6142;(81) 8510-5305
2005;(12) 7059-2160;(81) 4597-9316
2006;(21) 5037-2665;(16) 4181-7969
2007;(61) 5730-9289;(11) 5893-9299
2008;(16) 4247-2815;(71) 8650-7215
2009;(18) 6010-4803;(85) 7310-9958
2010;(71) 3208-9523;(81) 9644-3443
2011;(65) 8852-8013;(11) 9480-4284
2012;(11) 8405-6012;(91) 4642-5701
2013;(27) 2136-8529;(21) 5820-9960
2014;(31) 9549-8754;(61) 4106-8456
2015;(11) 9647-8523;(12) 2250-3375
2016;(15) 9735-3146;(77) 9112-7792
2017;(61) 8400-9348;(11) 6523-4810
2018;(11) 2987-7767;(21) 5151-2512
2019;(95) 4472-4016;(21) 8264-4190
2020;(12) 3929-6258;(31) 3534-8957
2021;(19) 3343-4815;(61) 5237-3050
2022;(27) 6605-9029;(79) 7529-5172
2023;(21) 3049-3892;(32) 8776-3402
2024;(98) 5153-6151;(21) 5907-7749
2025;(11) 8703-8587;(21) 3958-8297
2026;(51) 3255-6757;(98) 2106-2464
2027;(62) 8153-5186;(48) 5506-3044
2028;(51) 4492-7983;(85) 5712-4058
2029;(12) 2058-3155;(31) 7669-3869
2030;(13) 8686-8769;(61) 5746-2354
2031;(85) 2372-9538;(18) 9463-3491
2032;(33) 5695-8285;(11) 6243-5426
2033;(61) 7819-2408;(31) 3915-2826
